id,name,repo_url,additional_names,repo_identifier,description,repo_contact,types,size,start_date,ui_languages,subjects,mission_url,content_types,provider_types,keywords,institutions,institution_countries,institution_responsibilities,institution_types,policies,policy_urls,db_access_types,db_access_restrictions,db_licenses,db_license_urls,data_access,data_access_restrictions,data_licenses,data_license_urls,upload_access,upload_access_restrictions,upload_licenses,upload_license_urls,software,apis,pid_systems,cite_urls,aid_systems,quality_management,certificates,metadata_standards,metadata_urls,remarks,entry_date,last_update
r3d100000037,Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics,https://daac.ornl.gov/,ORNL DAAC,FAIRsharing_doi:10.25504/FAIRsharing.a833sq,"The Oak Ridge National Laboratory Distributed Active Archive Center (ORNL DAAC) for biogeochemical dynamics is one of the National Aeronautics and Space Administration (NASA) Earth Observing System Data and Information System (EOSDIS) data centers managed by the Earth Science Data and Information System (ESDIS) Project. The ORNL DAAC archives data produced by NASA's Terrestrial Ecology Program. The DAAC provides data and information relevant to biogeochemical dynamics, ecological data, and environmental processes, critical for understanding the dynamics relating to the biological, geological, and chemical components of Earth's environment.",uso@daac.ornl.gov,disciplinary,,1998,eng,"3 Natural Sciences,313 Atmospheric Science and Oceanography,31301 Atmospheric Science,315 Geophysics and Geodesy,318 Water Research,34 Geosciences (including Geography)",https://daac.ornl.gov/about/,"Archived data,Scientific and statistical data formats","dataProvider,serviceProvider","biogeochemical dynamics,ecological data,environmental processes","National Aeronautics and Space Administration, Terrestrial Ecology Program,Oak Ridge National Laboratory","USA,USA","general,general,technical","non-profit,non-profit","CoreTrustSeal assessment,Data Management for Data Providers,Data Product Citation Policy,Privacy Policy","https://www.coretrustseal.org/wp-content/uploads/2019/01/Oak-Ridge-National-Laboratory-DAAC.pdf,https://daac.ornl.gov/datamanagement/,https://daac.ornl.gov/about/#citation_policy,https://www.nasa.gov/about/highlights/HP_Privacy.html",open,,,,restricted,registration,Public Domain,https://earthdata.nasa.gov/earth-observation-data/data-citations-acknowledgements,restricted,other,Data Management for Data Providers,https://daac.ornl.gov/datamanagement/,unknown,"https://www.unidata.ucar.edu/software/tds/current/reference/NetcdfSubsetServiceConfigure.html,https://www.unidata.ucar.edu/software/tds/current/reference/Services.html#DAP2",DOI,https://daac.ornl.gov/about/#citation_policy,,yes,other,"CF (Climate and Forecast) Metadata Conventions,RDF Data Cube Vocabulary","http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions,http://www.dcc.ac.uk/resources/metadata-standards/rdf-data-cube-vocabulary",is covered by Elsevier. ORNL DAAC is covered by Thomson Reuters Data Citation Index. ORNL DAAC is part of National Aeronautics and Space Administration (NASA) Earth Observing System Data and Information System (EOSDIS) data centers https://earthdata.nasa.gov/eosdis/science-system-description/eosdis-services | Much of the data is in the public domain. Data licenses usually appears under 'Access Restrictions'.,2013-01-14,2021-09-02
r3d100000044,DRYAD,https://datadryad.org/stash,,"FAIRsharing_dOI:10.25504/FAIRsharing.wkggtx,OMICS_20678,ROR:00x6h5n95,RRID:SCR_005910,RRID:nlx_149486","Dryad is an international repository of data underlying peer-reviewed scientific and medical literature, particularly data for which no specialized repository exists. The content is considered to be integral to the published research. All material in Dryad is associated with a scholarly publication","curator@datadryad.org,help@datadryad.org",other,40.098 data packages,2008,eng,"1 Humanities and Social Sciences,12 Social and Behavioural Sciences,2 Life Sciences,201 Basic Biological and Medical Research,20105 General Genetics,20107 Bioinformatics and Theoretical Biology,202 Plant Sciences,20202 Plant Ecology and Ecosystem Analysis,203 Zoology,20302 Evolution, Anthropology,20305 Biochemistry and Animal Physiology,204 Microbiology, Virology and Immunology,20402 Microbial Ecology and Applied Microbiology,20404 Virology,207 Agriculture, Forestry, Horticulture and Veterinary Medicine,21 Biology,22 Medicine,23 Agriculture, Forestry, Horticulture and Veterinary Medicine,3 Natural Sciences,314 Geology and Palaeontology,34 Geosciences (including Geography)",https://datadryad.org/stash/our_mission#community,"Plain text,Scientific and statistical data formats,Software applications,Source code,Standard office documents,Structured text,other","dataProvider,serviceProvider","FAIR,biodiversity,interdisciplinary,scientific and medical publications","California Digital Library,Dryad,National Science Foundation","USA,AAA,USA","general,general,funding","non-profit,non-profit,non-profit","Our community,Publication policy,Terms of Service","https://datadryad.org/stash/our_community#institutional,https://datadryad.org/stash/terms#publication,https://datadryad.org/stash/terms",open,,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"embargoed,open",,"CC0,other","https://creativecommons.org/publicdomain/zero/1.0/,https://datadryad.org/stash/faq#searching",restricted,"feeRequired,registration",Depositing data to Dryad,https://datadryad.org/stash/faq#depositing-acceptable-data,DSpace,"https://v1.datadryad.org/oai/request?,https://datadryad.org/api/v2/docs/,https://github.com/CDL-Dryad/dryad-app/blob/main/documentation/apis/submission.md",DOI,https://datadryad.org/stash/faq#cite,ORCID,yes,,"DataCite Metadata Schema,Dublin Core,OAI-ORE - Open Archives Initiative Object Reuse and Exchange,RDF Data Cube Vocabulary","http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,http://www.dcc.ac.uk/resources/metadata-standards/oai-ore-open-archives-initiative-object-reuse-and-exchange,http://www.dcc.ac.uk/resources/metadata-standards/rdf-data-cube-vocabulary","Dryad is covered by Thomson Reuters Data Citation Index. is covered by Elsevier. Dryad is a nonprofit organization, governed by its member organizations, including journals, publishers, scientific societies, funding agencies, and other stakeholders, and an international repository of data underlying scientific and medical publications. For more information see https://datadryad.org/stash/our_membership",2013-02-06,2021-09-03
r3d100010050,Research Data Archive at NCAR,https://rda.ucar.edu/,"NCAR CISL RDA,National Center for Atmospheric Research Research Data Archive",FAIRsharing_doi:10.25504/FAIRsharing.q31z3g,"The Research Data Archive (RDA) at NCAR contains a large and diverse collection of meteorological and oceanographic observations, operational and reanalysis model outputs, and remote sensing datasets to support atmospheric and geosciences research.","https://ithelp.ucar.edu/plugins/servlet/desk/site/rda,https://rda.ucar.edu/#!about,rdahelp@ucar.edu",disciplinary,717 datasets,1965,eng,"3 Natural Sciences,313 Atmospheric Science and Oceanography,31301 Atmospheric Science,31302 Oceanography,315 Geophysics and Geodesy,31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy,318 Water Research,34 Geosciences (including Geography)",https://rda.ucar.edu/#!about,"Archived data,Images,Raw data,Scientific and statistical data formats,Source code","dataProvider,serviceProvider","atmospheric and geosciences research,global atmospheric reanalyses,meteorological and oceanographic observations,remote sensing,topography/bathymetry","National Center for Atmospheric Research, Computational and Information Systems Laboratory, Data Engineering and Curation Section,National Science Foundation,University Corporation for Atmospheric Research","USA,USA,USA","general,technical,funding,general,technical","non-profit,non-profit,non-profit","CoreTrustSeal Assessment,Terms of Use,Terms of Use for UCAR Data Repositories","https://www.coretrustseal.org/wp-content/uploads/2019/06/Research-Data-Archive-at-the-National-Center-for-Atmospheric-Research-NCAR.pdf,https://www.ucar.edu/terms-of-use,https://www.ucar.edu/terms-of-use/data",open,,CC,https://rda.ucar.edu/index.html#repository_terms_conditions,"open,restricted",registration,"CC,Copyrights","https://creativecommons.org/licenses/by/4.0/legalcode,https://www.ucar.edu/terms-of-use/data",restricted,registration,,,MySQL,"https://rda.ucar.edu/cgi-bin/oai,https://rda.ucar.edu/#!apps_api_desc,https://rda.ucar.edu/thredds/catalog/catalog.html",DOI,https://rda.ucar.edu/#!data-citation,,yes,other,"DIF - Directory Interchange Format,DataCite Metadata Schema,Dublin Core,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata,ISO 19115","http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format,http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,http://www.dcc.ac.uk/resources/metadata-standards/fgdccsdgm-federal-geographic-data-committee-content-standard-digital-ge,http://www.dcc.ac.uk/resources/metadata-standards/iso-19115","The Research Data Archive at NCAR is covered by Thomson Reuters Data Citation Index.
NCAR is a regular member of ICSU World Data System - WDS.",2012-08-03,2022-05-10
r3d100010061,Atmospheric Science Data Center,https://eosweb.larc.nasa.gov/,"ASDC,LaRC ASDC,NASA Langley Research Center, Atmospheric Science Data Center",,"The Atmospheric Science Data Center (ASDC) at NASA Langley Research Center is responsible for processing, archiving, and distribution of NASA Earth science data in the areas of radiation budget, clouds, aerosols, and tropospheric chemistry.The ASDC specializes in atmospheric data important to understanding the causes and processes of global climate change and the consequences of human activities on the climate.",,"disciplinary,other",61 projects; more than 1000 archived datasets,1991,eng,"3 Natural Sciences,313 Atmospheric Science and Oceanography,31301 Atmospheric Science,34 Geosciences (including Geography)",https://eosweb.larc.nasa.gov/more-about-asdc,"Archived data,Audiovisual data,Databases,Images,Raw data,Scientific and statistical data formats,Standard office documents","dataProvider,serviceProvider","CALIPSO,CERES,Global climate change,ISCCP,MOPITT,SRB,TES,aerosols,astrophysics,atmospheric chemistry,clouds,meteorology,radiation budget,satellite program,tropospheric chemistry","Atmospheric Science Data Center at NASA Langley Research Center,NASA's Earth Observing System Data and Information System","USA,USA","funding,general,technical,funding","non-profit,non-profit","NASA Web Privacy Policy and Important Notices,Policy statement","https://www.nasa.gov/about/highlights/HP_Privacy.html,https://eosweb.larc.nasa.gov/citing-asdc-data",open,,Copyrights,https://eosweb.larc.nasa.gov/copyright-information,open,,"Public Domain,other","https://eosweb.larc.nasa.gov/copyright-information,https://eosweb.larc.nasa.gov/copyright-information",restricted,registration,Data Rights & related issues,https://science.nasa.gov/earth-science/earth-science-data/data-information-policy/data-rights-related-issues/,other,"http://l0dup05.larc.nasa.gov/opendap/,https://eosweb.larc.nasa.gov/datapool,https://eosweb.larc.nasa.gov/datapool",DOI,https://eosweb.larc.nasa.gov/citing-asdc-data,,yes,WDS,DIF - Directory Interchange Format,http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format,"The Data Center was established in 1991 to support the Earth Observing System (EOS) as part of NASA's Earth Science enterprise and the U.S. Global Change Research Program, and is one of several Distributed Active Archive Centers (DAACs) sponsored by NASA as part of the Earth Observing System Data and Information System (EOSDIS). The Data Center specializes in atmospheric data important to understanding the causes and processes of global climate change and the consequences of human activities on the climate.---- NASA ESDIS is a network member of ICSU World Data System.",2013-08-07,2021-06-25
r3d100010066,figshare,http://figshare.com/,,"FAIRsharing_doi:10.25504/FAIRsharing.drtwnh,RRID:SCR_004328,RRID:nlx_34569","figshare allows researchers to publish all of their research outputs in an easily citable, sharable and discoverable manner. All file formats can be published, including videos and datasets. Optional peer review process. figshare uses creative commons licensing.","http://figshare.com/contact,info@figshare.com",other,,2011,eng,"1 Humanities and Social Sciences,2 Life Sciences,3 Natural Sciences,4 Engineering Sciences",http://figshare.com/about,"Archived data,Audiovisual data,Images,Plain text,Raw data,Scientific and statistical data formats,Source code,Standard office documents,Structured graphics","dataProvider,serviceProvider","data collection platform,multidisciplinary",Digital Science,AAA,"general,technical",commercial,"COPE principles of transparency and best practice in scholarly publishing,Privacy Policy,Using figshare","http://publicationethics.org/files/Principles%20of%20Transparency%20and%20Best%20Practice%20in%20Scholarly%20Publishing_0.pdf,http://figshare.com/privacy,https://knowledge.figshare.com/",open,,CC,http://creativecommons.org/licenses/,"embargoed,open",,"Apache License 2.0,BSD,CC,CC0,other,other","http://www.apache.org/licenses/,https://opensource.org/licenses/BSD-3-Clause,http://creativecommons.org/licenses/by/4.0/,http://creativecommons.org/licenses/,http://opensource.org/licenses/MIT,https://www.gnu.org/licenses/quick-guide-gplv3.html",restricted,registration,Terms and conditions,http://figshare.com/terms,other,https://api.figshare.com/v2/oai,DOI,https://knowledge.figshare.com/articles/item/how-to-share-cite-or-embed-my-data,ORCID,yes,,"DataCite Metadata Schema,Dublin Core","http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema,http://www.dcc.ac.uk/resources/metadata-standards/dublin-core",is covered by Elsevier. figshare is covered by Thomson Reuters Data Citation Index. figshare is partner of the Reproducibility Initiative. figshare uses Altmetric metrics.,2012-08-22,2021-09-02
r3d100010081,HEPData,https://hepdata.net/,"High Energy Physics Data Repository,formerly: Durham HEPData Project",FAIRsharing_doi:10.25504/FAIRsharing.awgyhy,"The Durham High Energy Physics Database (HEPData), formerly: the Durham HEPData Project,  has been built up over the past four decades as a unique open-access repository for scattering data from experimental particle physics. It currently comprises the data points from plots and tables related to several thousand publications including those from the Large Hadron Collider (LHC).
The Durham HepData Project has for more than 25 years compiled the Reactions Database containing what can be loosly described as cross sections from HEP scattering experiments. The data comprise total and differential cross sections, structure functions, fragmentation functions, distributions of jet measures, polarisations, etc... from a wide range of interactions. 
In the new HEPData site (hepdata.net), you can explore new functionalities for data providers and data consumers, as well as the submission interface. HEPData is operated by CERN and IPPP at Durham University and is based on the digital library framework Invenio.",info@hepdata.net,disciplinary,68252 data tables,2007,eng,"3 Natural Sciences,302 Chemical Solid State and Surface Research,307 Condensed Matter Physics,309 Particles, Nuclei and Fields,30901 Particles, Nuclei and Fields,31 Chemistry,32 Physics",https://hepdata.net/about,"Images,Plain text,Scientific and statistical data formats,Standard office documents,Structured graphics",dataProvider,"Large Hadron Collider (LHC),distributions of jet measures,fragmentation functions,high energy physics,particle physics,polarisation,scattering experiments,structure functions","CERN,Durham University, Institute for Particle Physics Phenomenology,Science & Technology Facilities Council","CHE,GBR,GBR","technical,general,technical,funding","non-profit,non-profit,non-profit",Terms of Use,https://hepdata.net/terms,open,,,,open,,"CC,other","https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://hepdata.net/terms",restricted,registration,Submission steps,https://hepdata.net/submission,other,,DOI,,,yes,,,,"HepData is covered by Thomson Reuters Data Citation Index. is covered by Elsevier. The LHC (Large Hadron Collider) is an international project based at CERN, in which the UK has a leading role.  It is designed to answer some of the big questions about the Universe and the world we live in. Data from the LHC are stored on HEPDATA: Atlas, CMS, LHCb ALICE.
This new site is still under development. In the meantime, please continue using the old site at http://hepdata.cedar.ac.uk.  . The new site was presented in a meeting at CERN on 25th April 2016.",2012-08-29,2021-09-02
r3d100010129,PubChem,https://pubchem.ncbi.nlm.nih.gov/,,"FAIRsharing_doi:10.25504/FAIRsharing.qt3w7z,OMICS_02734,RRID:SCR_004284,RRID:SCR_010578,RRID:nlx_29861,RRID:nlx_42691","Pubchem contains 3 databases. 1. PubChem BioAssay: The PubChem BioAssay Database contains bioactivity screens of chemical substances described in PubChem Substance. It provides searchable descriptions of each bioassay, including descriptions of the conditions and readouts specific to that screening procedure. 2. PubChem Compound: The PubChem Compound Database contains validated chemical depiction information provided to describe substances in PubChem Substance. Structures stored within PubChem Compounds are pre-clustered and cross-referenced by identity and similarity groups. 3. PubChem Substance. The PubChem Substance Database contains descriptions of samples, from a variety of sources, and links to biological screening results that are available in PubChem BioAssay. If the chemical contents of a sample are known, the description includes links to PubChem Compound.",https://pubchemdocs.ncbi.nlm.nih.gov/contact,disciplinary,270.998.024 Substances; 1.366.263 BioAssays;  109.891.994 Compounds;,2004,eng,"2 Life Sciences,201 Basic Biological and Medical Research,21 Biology,3 Natural Sciences,31 Chemistry",https://pubchemdocs.ncbi.nlm.nih.gov/about,"Databases,Images,Plain text,Raw data,Scientific and statistical data formats,Structured graphics,Structured text","dataProvider,serviceProvider","Validation,biological screening,chemical name,chemical structure,small molecule,standardization,substance information","National Center für Biotechnology Information,National Institutes of Health,U.S. Department of Health & Human Services,United States National Library of Medicine","USA,USA,USA,USA","funding,general,technical,funding,funding,general","non-profit,non-profit,non-profit,non-profit","NLM PubChem project data submission policy(DSP),Privacy policy","https://pubchem.ncbi.nlm.nih.gov/upload/html/dsp.html,https://www.nlm.nih.gov/privacy.html",open,,,,"embargoed,open",,"Copyrights,Copyrights,Public Domain,other","https://www.copyright.gov/fls/fl102.html,https://www.ncbi.nlm.nih.gov/home/about/policies/,https://www.ncbi.nlm.nih.gov/home/about/policies/,https://www.ncbi.nlm.nih.gov/home/about/policies/",restricted,registration,NLM PubChem project data submission policy,https://pubchem.ncbi.nlm.nih.gov/upload/html/dsp.html,unknown,"ftp://ftp.ncbi.nlm.nih.gov/,https://pubchemdocs.ncbi.nlm.nih.gov/pug-rest,https://pubchemdocs.ncbi.nlm.nih.gov/pug-soap",other,https://pubchemdocs.ncbi.nlm.nih.gov/citation-guidelines,,yes,,,,"PubChem is integrated with Entrez, NCBI's primary search engine. The late Senator Claude Pepper recognized the importance of computerized information processing methods for the conduct of biomedical research and sponsored legislation that established the National Center for Biotechnology Information (NCBI) on November 4, 1988, as a division of the National Library of Medicine (NLM) at the National Institutes of Health (NIH). NLM was chosen for its experience in creating and maintaining biomedical databases, and because as part of NIH, it could establish an intramural research program in computational molecular biology. The collective research components of NIH make up the largest biomedical research facility in the world.",2012-12-06,2021-09-08
r3d100010132,Multimodal Learning Corpus Exchange,http://lrl-diffusion.univ-bpclermont.fr/mulce2/accesCorpus/accesCorpusMulce.php,"LETEC,MULCE,MUltimodal contextualized Learner Corpus Exchange,Multimodal Learning and Teaching Corpora",ISSN 2425-3316,"Mulce (MUltimodal contextualized Learner Corpus Exchange) is a research project supported by the National Research Agency (ANR programme: ""Corpus and Tools in the Humanities"", ANR-06-CORP-006).
A teaching corpus (LETEC - Learning and Teaching Corpora) combines a systematic and structured data set, particularly of interactional data, and traces left by a training course experimentation, conducted partially or completely online and completed by additional technical, human, pedagogical and scientific information to enable the data to be analysed in context.",pfmaster@mulce.org,disciplinary,49,2007,"eng,fra","1 Humanities and Social Sciences,104 Linguistics,10401 General and Applied Linguistics,109 Education Sciences,11 Humanities,12 Social and Behavioural Sciences",http://mulce-doc.univ-bpclermont.fr/?lang=en,"Audiovisual data,Raw data,Scientific and statistical data formats,Standard office documents,Structured graphics",dataProvider,"learning,teaching","CLARIN ERIC,L'Agence Nationale de la Recherche,Maison des Sciences de l'Homme,OLAC,University of Franche-Comté,Université Clermont Auvergne, Laboratoire de Recherche sur le Langage","EEC,FRA,FRA,AAA,FRA,FRA","sponsoring,funding,technical,sponsoring,funding,general,technical,funding,general","non-profit,non-profit,non-profit,non-profit,non-profit,non-profit","Access information about Mulce on OLAC,Open Data, Guide to Open Licensing","http://www.language-archives.org/archive/mulce.org,https://opendefinition.org/guide/",open,,CC,https://creativecommons.org/licenses/,open,,"CC,CC0","https://creativecommons.org/licenses/by-sa/4.0/,https://creativecommons.org/publicdomain/",restricted,registration,,,unknown,http://www.language-archives.org/cgi-bin/olaca3.pl?verb=GetRecord&identifier=oai:mulce.org:mce-archi21-letec-all&metadataPrefix=oai_dc,hdl,,,yes,,"Dublin Core,other","http://www.dcc.ac.uk/resources/metadata-standards/dublin-core,http://www.dcc.ac.uk/resources/metadata-standards/abcd-access-biological-collection-data",MULCE is part of Open Language Archive Community (OLAC) http://www.language-archives.org/archive_records/mulce.org and Common Language Resources and Technology Infrastructure (CLARIN) and searchable in its VLO https://vlo.clarin.eu/search?0&fq=collection:Multimodal+Learning+and+teaching+Corpora+Exchange,2012-12-06,2021-08-24
r3d100010159,"NASA Socioeconomic Data and Applications Center",https://sedac.ciesin.columbia.edu/,SEDAC,FAIRsharing_doi:10.25504/FAIRsharing.4ufVpm,"SEDAC, the Socioeconomic Data and Applications Center, is one of the Distributed Active Archive Centers (DAACs) in the Earth Observing System Data and Information System (EOSDIS) of the U.S. National Aeronautics and Space Administration. SEDAC is a regular member of the World Data System and focuses on human interactions in the environment. Its mission is to develop and operate applications that support the integration of socioeconomic and Earth science data and to serve as an ""Information Gateway"" between the Earth and social sciences.",ciesin.info@ciesin.columbia.edu,disciplinary,47 data collections; 263 datasets,1998,eng,"1 Humanities and Social Sciences,111 Social Sciences,11104 Political Science,112 Economics,12 Social and Behavioural Sciences,2 Life Sciences,207 Agriculture, Forestry, Horticulture and Veterinary Medicine,20701 Soil Sciences,23 Agriculture, Forestry, Horticulture and Veterinary Medicine,3 Natural Sciences,315 Geophysics and Geodesy,317 Geography,31702 Human Geography,34 Geosciences (including Geography),4 Engineering Sciences,410 Construction Engineering and Architecture,41002 Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning,45 Construction Engineering and Architecture",https://sedac.ciesin.columbia.edu/about,"Scientific and statistical data formats,Standard office documents,Structured graphics","dataProvider,serviceProvider","agriculture,climate,conservation,energy infrastructure,environmental assessment,environmental health,environmental indicators,environmental sciences,environmental treaties,global environment,governance,hazards,health,infrastructure,land use,marine and coastal,population,poverty,remote sensing,socioeconomics,sustainability,water","Columbia University, Earth Institute, Center for International Earth Science Information Network,National Aeronautics and Space Administration, Earth Observing System Data and Information System","USA,USA","technical,funding,general","non-profit,non-profit","NASA web privacy policy,Privacy Policy, Copyrights, and Permissions,WDC - Data Sharing Principles","https://www.nasa.gov/about/highlights/HP_Privacy.html,https://sedac.ciesin.columbia.edu/privacy,https://www.icsu-wds.org/services/data-sharing-principles",open,,,,open,,Copyrights,https://sedac.ciesin.columbia.edu/privacy,open,,,,Fedora,,DOI,https://sedac.ciesin.columbia.edu/citations,,yes,WDS,FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata,http://www.dcc.ac.uk/resources/metadata-standards/fgdccsdgm-federal-geographic-data-committee-content-standard-digital-ge,"SEDAC is covered by Thomson Reuters Data Citation Index. 
This record is combined with 'NASA Socioeconomic Data and Applications Center', see https://www.re3data.org/repository/r3d100010160
 The World Data Center for Human Interactions in the Environment has been superseded by the NASA Socioeconomic Data and Applications Center (SEDAC), which is a regular member of the World Data System (WDS). The International Council for Science (ICSU) replaced the World Data Centers (WDC) with the WDS, which supports the provision of trusted scientific data services by certifying its members to ensure that they maintain the organizational capabilities and infrastructure for managing the data products and services that they offer.",2012-12-09,2021-11-10
r3d100010197,The Cambridge Structural Database,https://www.ccdc.cam.ac.uk/solutions/csd-system/components/csd/,"CSD,Cambridge Crystallographic Data Centre","FAIRsharing_doi:10.25504/FAIRsharing.vs7865,RRID:SCR_007310,RRID:nif-0000-00174","Established in 1965, the CSD is the world’s repository for small-molecule organic and metal-organic crystal structures. Containing the results of over one million x-ray and neutron diffraction analyses this unique database of accurate 3D structures has become an essential resource to scientists around the world. The CSD records bibliographic, chemical and crystallographic information for:organic molecules, metal-organic compounds whose 3D structures have been determined using X-ray diffraction, neutron diffraction. The CSD records results of: single crystal studies, powder diffraction studies which yield 3D atomic coordinate data for at least all non-H atoms. In some cases the CCDC is unable to obtain coordinates, and incomplete entries are archived to the CSD. 
The CSD includes crystal structure data arising from: publications in the open literature and Private Communications to the CSD (via direct data deposition). 
The CSD contains directly deposited data that are not available anywhere else, known as CSD Communications.","https://www.ccdc.cam.ac.uk/theccdcprofile/contactus/,support@ccdc.cam.ac.uk",disciplinary,1.037.850  crystal structures,2012,eng,"3 Natural Sciences,301 Molecular Chemistry,303 Physical and Theoretical Chemistry,308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas,309 Particles, Nuclei and Fields,31 Chemistry,32 Physics",https://www.ccdc.cam.ac.uk/theccdcprofile/,"Audiovisual data,Images,Plain text,Raw data,Scientific and statistical data formats,Software applications,Standard office documents,Structured graphics",dataProvider,"chemistry,crystallography,metal-organic crystal structures,neutron diffraction analyses,organic crystal structures,physics,small molecule structures,x-Rax diffraction analyses",Cambridge Crystallographic Data Centre,GBR,"funding,general,technical",non-profit,"Access Structure,CCDC Terms & Conditions","https://www.ccdc.cam.ac.uk/structures/,https://www.ccdc.cam.ac.uk/termsandconditions/",open,,,,"embargoed,open,restricted","feeRequired,registration",Copyrights,https://www.ccdc.cam.ac.uk/termsandconditions/,restricted,registration,Copyrights,https://services.ccdc.cam.ac.uk/structure_deposit/web_deposit_php/web_deposit_upload_file.php,unknown,https://downloads.ccdc.cam.ac.uk/documentation/API/,DOI,https://www.ccdc.cam.ac.uk/support-and-resources/Support/search?c=Product+Reference,ORCID,yes,other,DataCite Metadata Schema,http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema,"Cambridge Structural Database is covered by Clarivate Data Citation Index. is covered by Elsevier. Access to WebCSD is available to those with an unlimited site licence for the Cambridge structural Database System. 
Originating in the Department of Chemistry at the University of Cambridge, the CCDC is now a fully independent institution constituted as a non-profit company and a registered charity since 1989.",2013-02-06,2021-09-03
